Wavelength,Qe
402.0826546003020,0.7187200000000000
402.0826546003020,0.7127751111111110
401.5782805429860,0.706830222222222
403.25952740070400,0.7246648888888890
403.59577677224700,0.7172337777777780
405.108898944193,0.7335822222222220
405.108898944193,0.7276373333333330
404.6045248868780,0.7216924444444440
406.28577174459500,0.739527111111111
406.62202111613900,0.7320960000000000
408.13514328808400,0.7484444444444440
408.13514328808400,0.7424995555555550
407.6307692307690,0.7380408888888890
409.31201608848700,0.7543893333333330
409.64826546003000,0.7469582222222220
411.3295123177480,0.7633066666666670
411.16138763197600,0.7566186666666670
410.6570135746610,0.752903111111111
413.3470085470090,0.7722240000000000
413.1788838612370,0.7655360000000000
412.6745098039220,0.7618204444444440
415.3645047762690,0.7811413333333330
415.1963800904980,0.7744533333333330
414.69200603318200,0.7707377777777780
417.38200100553000,0.7900586666666670
417.21387631975900,0.7833706666666670
416.7095022624430,0.779655111111111
419.3994972347910,0.7989760000000000
419.2313725490200,0.7922880000000000
418.72699849170400,0.7885724444444440
421.41699346405200,0.8049208888888890
420.7444947209650,0.7989760000000000
420.7444947209650,0.7945173333333330
423.4344896933130,0.8108657777777780
422.7619909502260,0.8049208888888890
425.4519859225740,0.817306074074074
424.77948717948700,0.8108657777777780
427.46948215183500,0.8232509629629630
426.79698340874800,0.8182968888888890
429.48697838109600,0.8287004444444440
428.81447963800900,0.8242417777777780
431.50447461035700,0.8321682962962960
430.83197586727,0.8272142222222220
433.3538461538460,0.8376177777777780
433.3538461538460,0.8324160000000000
435.37134238310700,0.8405902222222220
435.37134238310700,0.8361315555555550
437.388838612368,0.8435626666666670
437.388838612368,0.8391040000000000
439.4063348416290,0.846535111111111
439.4063348416290,0.8420764444444440
441.42383107089000,0.8495075555555550
441.42383107089000,0.8450488888888890
443.4413273001510,0.8524800000000000
443.4413273001510,0.8480213333333330
445.62694821518300,0.8559478518518520
444.9544494720970,0.8509937777777780
447.6444444444440,0.8643697777777780
446.9719457013570,0.8584248888888890
449.4938159879340,0.8703146666666670
449.4938159879340,0.8651128888888890
450.67068878833600,0.8762595555555560
451.5113122171950,0.8703146666666670
452.68818501759700,0.8822044444444440
452.0156862745100,0.8762595555555560
454.7056812468580,0.8911217777777780
454.5375565610860,0.8844337777777780
454.0331825037710,0.8807182222222220
456.7231774761190,0.8970666666666670
456.05067873303200,0.8911217777777780
458.74067370538000,0.9030115555555560
458.0681749622930,0.8970666666666670
460.59004524886900,0.9089564444444440
460.59004524886900,0.9037546666666670
462.6075414781300,0.9089564444444440
462.10316742081400,0.9044977777777780
464.6250377073910,0.9119288888888890
464.6250377073910,0.9074702222222220
466.81065862242300,0.9149013333333330
466.1381598793360,0.9104426666666670
468.8281548516840,0.9183691851851850
468.15565610859700,0.913415111111111
470.67752639517300,0.9238186666666670
470.67752639517300,0.9186168888888890
472.6950226244340,0.926791111111111
472.6950226244340,0.9223324444444440
474.88064353946700,0.9297635555555560
474.20814479638000,0.9253048888888890
476.89813976872800,0.9332314074074070
476.22564102564100,0.9282773333333330
478.91563599798900,0.9362038518518520
478.24313725490200,0.9312497777777780
480.7650075414780,0.9416533333333330
480.7650075414780,0.9364515555555560
482.9506284565110,0.9446257777777780
482.2781297134240,0.940167111111111
484.9681246857720,0.9505706666666670
484.29562594268500,0.9446257777777780
486.98562091503300,0.9565155555555560
486.3131221719460,0.9505706666666670
488.8349924585220,0.9654328888888890
488.8349924585220,0.960231111111111
488.3306184012070,0.9550293333333330
491.0206133735550,0.9689007407407410
490.34811463046800,0.9639466666666670
492.8699849170440,0.9713777777777780
492.36561085972800,0.966919111111111
494.88748114630500,0.9743502222222220
494.88748114630500,0.9698915555555550
496.9049773755660,0.9743502222222220
496.4006033182500,0.9698915555555550
499.0905982905980,0.9748456296296300
500.9399698340880,0.9773226666666670
500.9399698340880,0.9728640000000000
502.9574660633480,0.9773226666666670
502.9574660633480,0.9728640000000000
505.14308697838100,0.977818074074074
506.9924585218700,0.980295111111111
506.9924585218700,0.9758364444444440
509.1780794369030,0.9807905185185180
511.02745098039200,0.9832675555555560
511.02745098039200,0.9788088888888890
513.2130718954250,0.9837629629629630
515.2305681246860,0.9867354074074070
514.5580693815990,0.9817813333333330
517.2480643539470,0.9897078518518520
516.5755656108600,0.9847537777777780
519.0974358974360,0.9921848888888890
518.5930618401210,0.9877262222222220
521.1149321266970,0.9921848888888890
523.1324283559580,0.993671111111111
542.2986425339370,0.993671111111111
544.3161387631980,0.993671111111111
546.3336349924580,0.9921848888888890
548.3511312217200,0.9921848888888890
550.3686274509800,0.9921848888888890
552.3861236802410,0.9921848888888890
553.3948717948720,0.9877262222222220
554.4036199095020,0.9921848888888890
555.4123680241330,0.9877262222222220
556.4211161387630,0.9921848888888890
558.4386123680240,0.9921848888888890
560.456108597285,0.9921848888888890
562.473604826546,0.9921848888888890
564.4911010558070,0.9921848888888890
566.5085972850680,0.9921848888888890
568.5260935143290,0.993671111111111
570.5435897435900,0.9929280000000000
572.5610859728510,0.9921848888888890
574.5785822021120,0.9921848888888890
574.5785822021120,0.9877262222222220
576.5960784313730,0.9906986666666670
576.5960784313730,0.9862400000000000
578.6135746606340,0.9877262222222220
578.6135746606340,0.9832675555555560
580.6310708898940,0.9847537777777780
580.6310708898940,0.9788088888888890
582.6485671191550,0.9788088888888890
582.6485671191550,0.9743502222222220
584.6660633484160,0.9728640000000000
584.6660633484160,0.9684053333333330
586.6835595776770,0.966919111111111
586.6835595776770,0.9624604444444440
588.7010558069380,0.9624604444444440
588.7010558069380,0.9572586666666670
