wavelength	throughput
388.50	9.5000001465451E-7
389.00	9.5000001465451E-7
389.50	9.5000001465451E-7
390.00	9.5000001465451E-7
390.50	9.5000001465451E-7
391.00	9.5000001465451E-7
391.50	9.5000001465451E-7
392.00	9.5000001465451E-7
392.50	9.5000001465451E-7
393.00	9.5000001465451E-7
393.50	9.5000001465451E-7
394.00	9.5000001465451E-7
394.50	9.5000001465451E-7
395.00	9.5000001465451E-7
395.50	9.5000001465451E-7
396.00	9.5000001465451E-7
396.50	1.5564799468848E-5
397.00	5.8553501730785E-5
397.50	6.4968597143888E-5
398.00	2.2748299670639E-5
398.50	9.5000001465451E-7
399.00	1.3203699609221E-6
399.50	1.1239300192756E-6
400.00	9.5000001465451E-7
400.50	9.5000001465451E-7
401.00	9.5000001465451E-7
401.50	9.5000001465451E-7
402.00	9.5000001465451E-7
402.50	9.5000001465451E-7
403.00	9.5000001465451E-7
403.50	9.5000001465451E-7
404.00	9.5000001465451E-7
404.50	9.5000001465451E-7
405.00	9.5000001465451E-7
405.50	9.5000001465451E-7
406.00	9.5000001465451E-7
406.50	9.5000001465451E-7
407.00	9.5000001465451E-7
407.50	9.5000001465451E-7
408.00	9.5000001465451E-7
408.50	9.5000001465451E-7
409.00	9.5000001465451E-7
409.50	9.5000001465451E-7
410.00	9.5000001465451E-7
410.50	9.5000001465451E-7
411.00	9.5000001465451E-7
411.50	9.5000001465451E-7
412.00	9.5000001465451E-7
412.50	9.5000001465451E-7
413.00	9.5000001465451E-7
413.50	9.5000001465451E-7
414.00	9.5000001465451E-7
414.50	9.5000001465451E-7
415.00	9.5000001465451E-7
415.50	9.5000001465451E-7
416.00	9.5000001465451E-7
416.50	9.5000001465451E-7
417.00	9.5000001465451E-7
417.50	9.5000001465451E-7
418.00	9.5000001465451E-7
418.50	9.5000001465451E-7
419.00	9.5000001465451E-7
419.50	9.5000001465451E-7
420.00	9.5000001465451E-7
420.50	9.5000001465451E-7
421.00	9.5000001465451E-7
421.50	9.5000001465451E-7
422.00	9.5000001465451E-7
422.50	9.5000001465451E-7
423.00	9.5000001465451E-7
423.50	9.5000001465451E-7
424.00	9.5000001465451E-7
424.50	9.5000001465451E-7
425.00	9.5000001465451E-7
425.50	9.5000001465451E-7
426.00	9.5000001465451E-7
426.50	9.5000001465451E-7
427.00	9.5000001465451E-7
427.50	9.5000001465451E-7
428.00	9.5000001465451E-7
428.50	9.5000001465451E-7
429.00	9.5000001465451E-7
429.50	9.5000001465451E-7
430.00	9.5000001465451E-7
430.50	9.5000001465451E-7
431.00	9.5000001465451E-7
431.50	9.5000001465451E-7
432.00	9.5000001465451E-7
432.50	9.5000001465451E-7
433.00	9.5000001465451E-7
433.50	9.5000001465451E-7
434.00	9.5000001465451E-7
434.50	9.5000001465451E-7
435.00	9.5000001465451E-7
435.50	9.5000001465451E-7
436.00	9.5000001465451E-7
436.50	9.5000001465451E-7
437.00	9.5000001465451E-7
437.50	9.5000001465451E-7
438.00	9.5000001465451E-7
438.50	9.5000001465451E-7
439.00	9.5000001465451E-7
439.50	9.5000001465451E-7
440.00	9.5000001465451E-7
440.50	9.5000001465451E-7
441.00	9.5000001465451E-7
441.50	9.5000001465451E-7
442.00	9.5000001465451E-7
442.50	9.5000001465451E-7
443.00	9.5000001465451E-7
443.50	9.5000001465451E-7
444.00	9.5000001465451E-7
444.50	9.5000001465451E-7
445.00	9.5000001465451E-7
445.50	9.5000001465451E-7
446.00	9.5000001465451E-7
446.50	9.5000001465451E-7
447.00	9.5000001465451E-7
447.50	9.5000001465451E-7
448.00	9.5000001465451E-7
448.50	9.5000001465451E-7
449.00	9.5000001465451E-7
449.50	9.5000001465451E-7
450.00	9.5000001465451E-7
450.50	9.5000001465451E-7
451.00	9.5000001465451E-7
451.50	9.5000001465451E-7
452.00	9.5000001465451E-7
452.50	9.5000001465451E-7
453.00	9.5000001465451E-7
453.50	9.5000001465451E-7
454.00	9.5000001465451E-7
454.50	9.5000001465451E-7
455.00	9.5000001465451E-7
455.50	9.5000001465451E-7
456.00	9.5000001465451E-7
456.50	9.5000001465451E-7
457.00	9.5000001465451E-7
457.50	9.5000001465451E-7
458.00	9.5000001465451E-7
458.50	9.5000001465451E-7
459.00	9.5000001465451E-7
459.50	9.5000001465451E-7
460.00	9.5000001465451E-7
460.50	9.5000001465451E-7
461.00	9.5000001465451E-7
461.50	9.5000001465451E-7
462.00	9.5000001465451E-7
462.50	9.5000001465451E-7
463.00	9.5000001465451E-7
463.50	9.5000001465451E-7
464.00	9.5000001465451E-7
464.50	9.5000001465451E-7
465.00	9.5000001465451E-7
465.50	9.5000001465451E-7
466.00	9.5000001465451E-7
466.50	9.5000001465451E-7
467.00	9.5000001465451E-7
467.50	9.5000001465451E-7
468.00	9.5000001465451E-7
468.50	9.5000001465451E-7
469.00	9.5000001465451E-7
469.50	9.5000001465451E-7
470.00	9.5000001465451E-7
470.50	9.5000001465451E-7
471.00	9.5000001465451E-7
471.50	9.5000001465451E-7
472.00	9.5000001465451E-7
472.50	9.5000001465451E-7
473.00	9.5000001465451E-7
473.50	9.5000001465451E-7
474.00	9.5000001465451E-7
474.50	9.5000001465451E-7
475.00	9.5000001465451E-7
475.50	9.5000001465451E-7
476.00	9.5000001465451E-7
476.50	9.5000001465451E-7
477.00	9.5000001465451E-7
477.50	9.5000001465451E-7
478.00	9.5000001465451E-7
478.50	9.5000001465451E-7
479.00	9.5000001465451E-7
479.50	9.5000001465451E-7
480.00	9.5000001465451E-7
480.50	9.5000001465451E-7
481.00	9.5000001465451E-7
481.50	9.5000001465451E-7
482.00	9.5000001465451E-7
482.50	9.5000001465451E-7
483.00	9.5000001465451E-7
483.50	9.5000001465451E-7
484.00	9.5000001465451E-7
484.50	9.5000001465451E-7
485.00	9.5000001465451E-7
485.50	9.5000001465451E-7
486.00	9.5000001465451E-7
486.50	9.5000001465451E-7
487.00	9.5000001465451E-7
487.50	9.5000001465451E-7
488.00	9.5000001465451E-7
488.50	9.5000001465451E-7
489.00	9.5000001465451E-7
489.50	9.5000001465451E-7
490.00	9.5000001465451E-7
490.50	9.5000001465451E-7
491.00	9.5000001465451E-7
491.50	9.5000001465451E-7
492.00	9.5000001465451E-7
492.50	9.5000001465451E-7
493.00	9.5000001465451E-7
493.50	9.5000001465451E-7
494.00	9.5000001465451E-7
494.50	9.5000001465451E-7
495.00	9.5000001465451E-7
495.50	9.5000001465451E-7
496.00	9.5000001465451E-7
496.50	9.5000001465451E-7
497.00	9.5000001465451E-7
497.50	9.5000001465451E-7
498.00	9.5000001465451E-7
498.50	9.5000001465451E-7
499.00	9.5000001465451E-7
499.50	9.5000001465451E-7
500.00	9.5000001465451E-7
500.50	9.5000001465451E-7
501.00	9.5000001465451E-7
501.50	9.5000001465451E-7
502.00	9.5000001465451E-7
502.50	9.5000001465451E-7
503.00	9.5000001465451E-7
503.50	9.5000001465451E-7
504.00	9.5000001465451E-7
504.50	9.5000001465451E-7
505.00	9.5000001465451E-7
505.50	9.5000001465451E-7
506.00	9.5000001465451E-7
506.50	9.5000001465451E-7
507.00	9.5000001465451E-7
507.50	9.5000001465451E-7
508.00	9.5000001465451E-7
508.50	9.5000001465451E-7
509.00	9.5000001465451E-7
509.50	9.5000001465451E-7
510.00	9.5000001465451E-7
510.50	9.5000001465451E-7
511.00	9.5000001465451E-7
511.50	9.5000001465451E-7
512.00	9.5000001465451E-7
512.50	9.5000001465451E-7
513.00	9.5000001465451E-7
513.50	9.5000001465451E-7
514.00	9.5000001465451E-7
514.50	9.5000001465451E-7
515.00	9.5000001465451E-7
515.50	9.5000001465451E-7
516.00	9.5000001465451E-7
516.50	9.5000001465451E-7
517.00	9.5000001465451E-7
517.50	9.5000001465451E-7
518.00	9.5000001465451E-7
518.50	9.5000001465451E-7
519.00	9.5000001465451E-7
519.50	9.5000001465451E-7
520.00	9.5000001465451E-7
520.50	9.5000001465451E-7
521.00	9.5000001465451E-7
521.50	9.5000001465451E-7
522.00	9.5000001465451E-7
522.50	9.5000001465451E-7
523.00	9.5000001465451E-7
523.50	9.5000001465451E-7
524.00	9.5000001465451E-7
524.50	9.5000001465451E-7
525.00	9.5000001465451E-7
525.50	9.5000001465451E-7
526.00	9.5000001465451E-7
526.50	9.5000001465451E-7
527.00	9.5000001465451E-7
527.50	9.5000001465451E-7
528.00	9.5000001465451E-7
528.50	9.5000001465451E-7
529.00	9.5000001465451E-7
529.50	9.5000001465451E-7
530.00	9.5000001465451E-7
530.50	9.5000001465451E-7
531.00	9.5000001465451E-7
531.50	9.5000001465451E-7
532.00	9.5000001465451E-7
532.50	9.5000001465451E-7
